text,label
"Doctors HATE this one weird trick",1
"You won't believe what happened next",1
"Senator SLAMS colleague in explosive hearing",1
"Over $70B in Unclaimed Funds in U.S. Enter Name & State.",1
"The SpaceX Filing Just Happened. You've Got Weeks.",1
"Amy Schumer reveals very intimate side effect to her botched medical procedure",1
"Massive underground tomb tied to legendary ruler reveals stunning details",1
"Taylor Swift Gets Major News as Travis Kelce Deals with Disappointment and...",1
"You May Be Overpaying When You Shop Online",1
"What they don't want you to know about the economy",1
"This one food is destroying your gut (experts say STOP eating it)",1
"Laura Ingraham GOES FULL MELTDOWN over immigration ruling",1
"Politician DESTROYS reporter with epic fact-check",1
"Scientists SHOCKED by what they found in the deep ocean",1
"Share this before they delete it",1
"Tag someone who needs to see this",1
"Like if you agree. Ignore if you support corruption.",1
"Is it a problem if the Fed speaks too much?",0
"Why Dominion Energy is trending",0
"Severe storms, tornadoes slam over 1,000 miles across Plains, Midwest",0
"Federal Reserve holds interest rates steady amid inflation concerns",0
"New study links ultra-processed foods to higher dementia risk",0
"Senate committee advances infrastructure bill after bipartisan vote",0
"Archaeologists uncover Roman-era mosaic beneath Naples street",0
"Apple reports quarterly earnings above analyst expectations",0
"NASA confirms Perseverance rover collected 10th Mars rock sample",0
"Mom called police with disturbing report after finding note in daughter's backpack",0
